travelTimeMeta_ID,Vsi,Qtn_TT,Ic_TT,fz_TT,ztop_TT,zbot_TT,Group,Group_ID
27,268.6990878,147.2293298,2.551686521,1.557063113,19.75,21.75,af/Qi,6
27,253.5532844,130.7845264,2.691590552,1.737176654,21.75,23.75,af/Qi,6
28,106.2929079,44.4012235,4.762172795,0.349922997,1.75,3.75,af/Qi,6
28,90.58741634,52.66799918,3.49122666,0.444631022,3.75,5.75,af/Qi,6
28,94.01206067,24.11636861,3.696280689,0.521345444,5.75,7.75,af/Qi,6
28,98.43591975,36.96723934,4.050729622,0.575780627,7.75,9.75,af/Qi,6
28,93.49878308,14.16249681,3.838979388,0.629537444,9.75,11.75,af/Qi,6
28,110.6106615,40.69257912,3.504034255,0.678553254,11.75,13.75,af/Qi,6
28,103.1848971,14.64323626,4.101587429,0.735339727,13.75,15.75,af/Qi,6
28,133.6873307,20.41284809,3.313575525,0.78726673,15.75,17.75,af/Qi,6
28,220.7862636,23.74209119,3.085721148,0.841199978,17.75,19.75,af/Qi,6
28,151.8017193,21.72796979,3.182329572,0.909960445,19.75,21.75,af/Qi,6
28,133.7026667,23.85531548,3.243192106,1.002788619,21.75,23.75,af/Qi,6
28,142.9987534,24.01206865,3.193777436,1.102691643,23.75,25.75,af/Qi,6
28,145.4158333,26.20695478,3.179616784,1.207890604,25.75,27.75,af/Qi,6
28,162.8344673,34.53585491,3.090608913,1.325683698,27.75,29.75,af/Qi,6
28,200.3665421,67.74001646,2.95027897,1.462126996,29.75,31.75,af/Qi,6
28,239.2148622,178.1870676,1.939028618,1.638124584,31.75,33.75,af/Qi,6
28,240.1204105,127.7287945,2.419751811,1.826104238,33.75,35.75,af/Qi,6
28,246.6704274,141.6592858,1.981355357,1.989150738,35.75,37.75,af/Qi,6
28,226.5846735,51.86296784,3.00364494,2.154030683,37.75,39.75,af/Qi,6
29,132.6562419,132.6709488,1.881886357,0.233279606,1.75,3.75,af/Qi,6
29,111.52581,112.8423378,2.340797818,0.375609081,3.75,5.75,af/Qi,6
29,132.4080939,123.7958884,2.121218067,0.512246029,5.75,7.75,af/Qi,6
29,106.0584952,65.17288454,2.757316129,0.628833553,7.75,9.75,af/Qi,6
29,98.77791046,41.76987374,2.937302111,0.731903659,9.75,11.75,af/Qi,6
29,110.9869793,39.68625985,2.933565277,0.835214037,11.75,13.75,af/Qi,6
29,115.7441758,39.38566393,3.022586717,0.939693442,13.75,15.75,af/Qi,6
29,125.370299,36.63847343,3.00737724,1.053411048,15.75,17.75,af/Qi,6
