travelTimeMeta_ID,site_ID,Group,citation_ID,name,Geology (Holzer),search (Grant),Geology (Site Table),Geology (Mapping),longitude,latitude,method,date,quality,VelocityDataType,vsz_value,vsz_unit,z_value,z_unit,depth_unit,traveltime_unit,DGWT,Group
93,3320,California,80,ALC080,,California,"Qoa",#N/A,-122.2692,37.8565,SCPT,2001.11.15,,Vs,293.4558,m/s,15.65,m,m,m/s,#N/A,Qoa
94,3321,California,80,ALC081,Qhf,California,"Qal2",#N/A,-122.2926,37.8591,SCPT,2002.3.28,,Vs,347.5387,m/s,15.25,m,m,m/s,1.1,Qal2
95,3322,California,80,ALC082,Qhf,California,"Qal2",#N/A,-122.2915,37.8608,SCPT,2002.3.28,,Vs,311.8303,m/s,14.55,m,m,m/s,-,Qal2
96,3323,California,80,ALC083,Qhf,California,"Qal2",#N/A,-122.3027,37.8795,SCPT,2002.3.28,,Vs,295.2565,m/s,15.25,m,m,m/s,2.2,Qal2
97,3324,California,80,ALC084,Qhf,California,"Qal2",#N/A,-122.3016,37.8761,SCPT,2002.3.28,,Vs,329.8823,m/s,16.25,m,m,m/s,1.8,Qal2
98,3325,California,80,ALC085,,California,"af/Qi",#N/A,-122.1568,37.6679,SCPT,2006.6.22,,Vs,228.0801,m/s,32.1,m,m,m/s,#N/A,af/Qi
99,3326,Floodplain,80,AXR001,,Illinois,"",Floodplain,-89.5092,37.2955,SCPT,2005.11.30,,Vs,220.3133,m/s,24.75,m,m,m/s,#N/A,Floodplain
100,3327,Floodplain,80,AXR002,,Illinois,"",Floodplain,-89.512,37.2959,SCPT,2005.12.1,,Vs,208.0382,m/s,23.5,m,m,m/s,#N/A,Floodplain
101,3328,Floodplain,80,BDY001,Hpb,Arkansas,"",#N/A,-92.3444,33.2868,SCPT,2005.12.14,,Vs,199.1921,m/s,14.3,m,m,m/s,-,Floodplain
102,3329,Floodplain,80,BDY002,Hpb,Arkansas,"",#N/A,-92.3331,33.2779,SCPT,2005.12.14,,Vs,206.3213,m/s,11.75,m,m,m/s,-,Floodplain
103,3330,Beach_Dune,80,BKY001,Qts,South carolina,"",#N/A,-79.8135,32.9703,SCPT,2004.10.22,,Vs,243.486,m/s,19.25,m,m,m/s,-,Beach_Dune
104,3331,Beach_Dune,80,BKY002,Qts,South carolina,"",#N/A,-79.8062,32.9757,SCPT,2004.10.22,,Vs,259.982,m/s,20.25,m,m,m/s,-,Beach_Dune
105,3332,Beach_Dune,80,BKY003,Qts,South carolina,"",#N/A,-79.7976,32.9804,SCPT,2004.11.5,,Vs,244.8454,m/s,19.95,m,m,m/s,-,Beach_Dune
106,3333,Beach_Dune,80,BKY004,Qts,South carolina,"",#N/A,-79.7866,32.9841,SCPT,2004.11.5,,Vs,265.5738,m/s,20.25,m,m,m/s,-,Beach_Dune
107,3334,Beach_Dune,80,BKY005,Qts,South carolina,"",#N/A,-79.7798,32.9899,SCPT,2004.11.5,,Vs,194.8872,m/s,20.05,m,m,m/s,-,Beach_Dune
108,3335,Beach_Dune,80,BKY006,Qts,South carolina,"",#N/A,-79.9237,32.9046,SCPT,2004.11.6,,Vs,269.257,m/s,19.75,m,m,m/s,-,Beach_Dune
109,3336,Beach_Dune,80,BKY007,Qts,South carolina,"",#N/A,-79.9061,32.915,SCPT,2004.11.6,,Vs,221.6913,m/s,19.95,m,m,m/s,-,Beach_Dune
110,3337,Beach_Dune,80,BKY008,Qts,South carolina,"",#N/A,-79.8988,32.9234,SCPT,2004.11.6,,Vs,266.8539,m/s,19.95,m,m,m/s,-,Beach_Dune
111,3338,Beach_Dune,80,BKY009,Qts,South carolina,"",#N/A,-79.8385,32.9443,SCPT,2004.11.6,,Vs,204.2188,m/s,19.75,m,m,m/s,-,Beach_Dune
