travelTimeArray_ID,travelTimeMeta_ID,depth,traveltime
906,95,7.75,28.01
907,95,9.75,35.49
908,95,11.75,41.11
909,95,13.75,44.81
910,95,14.55,46.66
911,96,1.75,6.27
912,96,3.75,12.4
913,96,5.75,21.04
914,96,7.75,26.81
915,96,9.75,36.34
916,96,11.75,42.23
917,96,13.75,47.96
918,96,15.25,51.65
919,97,1.75,7.3
920,97,3.75,13.57
921,97,5.75,21.57
922,97,7.75,26.49
923,97,9.75,31.41
924,97,11.75,35.94
925,97,13.75,40.73
926,97,15.75,47.96
927,97,16.25,49.26
928,98,1.75,9.22
929,98,3.8,31.95
930,98,4.75,39.53
931,98,5.75,43.36
932,98,6.75,48.04
933,98,7.75,52.89
934,98,8.75,57.57
935,98,9.75,60.54
936,98,10.75,65.39
937,98,11.75,67.18
938,98,12.75,71.71
939,98,14.1,78.98
940,98,14.75,82.49
941,98,15.75,86.17
942,98,17.75,93.82
943,98,18.75,97.03
944,98,19.75,99.99
945,98,20.75,104.52
946,98,21.75,107.73
947,98,22.75,111.63
948,98,23.75,114.37
949,98,24.75,118.04
950,98,25.75,121.48
951,98,26.75,125.3
952,98,27.75,127.49
953,98,28.8,129.91
954,98,29.75,133.66
955,98,30.75,137.02
956,98,31.75,139.68
957,98,32.1,140.74
958,99,1.75,7.19
959,99,2.75,14.53
960,99,3.75,21.33
961,99,4.75,27.03
962,99,5.75,33.12
963,99,6.75,39.29
964,99,7.75,44.06
965,99,8.75,48.28
966,99,9.75,52.34
967,99,10.75,56.09
968,99,11.75,60.86
969,99,12.75,65
970,99,13.8,69.21
971,99,14.75,73.28
972,99,16.75,81.32
973,99,17.75,85.78
974,99,19.75,93.43
975,99,20.75,97.49
976,99,21.75,101.4
977,99,22.75,105.54
978,99,23.75,108.59
979,99,24.75,112.34
980,100,1.75,11.25
981,100,2.75,18.51
982,100,3.75,25.31
983,100,4.75,33.75
984,100,5.75,41.79
985,100,6.75,47.58
986,100,7.75,52.65
987,100,8.75,57.18
988,100,9.75,60.31
989,100,10.75,66.48
990,100,11.75,70.07
991,100,12.75,74.84
992,100,13.75,79.14
993,100,14.75,83.74
994,100,15.75,87.26
995,100,16.75,90.54
996,100,17.75,94.6
997,100,18.75,98.2
998,100,19.75,101.95
999,100,20.75,105.23
1000,100,21.75,108.12
1001,100,22.75,111.63
1002,100,23.5,112.96
1003,101,1.75,6.87
1004,101,3.75,18.28
1005,101,5.75,26.69
1006,101,7.75,41.72
1007,101,9.75,52.42
1008,101,11.75,60.31
1009,101,13.75,70
1010,101,14.3,71.79
1011,102,1.75,8.44
1012,102,3.75,17.11
1013,102,5.75,30.08
1014,102,7.75,45.15
1015,102,9.75,52.89
1016,102,11.75,56.95
1017,103,1.75,11.41
1018,103,3.75,21.72
1019,103,5.75,32.65
1020,103,7.75,43.36
1021,103,9.75,56.72
1022,103,11.75,68.59
1023,103,13.75,72.42
1024,103,15.75,72.42
1025,103,17.75,75.78
1026,103,19.25,79.06
1027,104,1.75,8.98
1028,104,3.75,13.28
1029,104,6,22.65
1030,104,7.75,31.01
1031,104,9.75,44.92
1032,104,11.75,56.01
1033,104,13.75,65.93
1034,104,15.75,69.68
1035,104,17.75,72.96
1036,104,20.25,77.89
1037,105,1.75,10.78
1038,105,3.75,18.51
1039,105,5.75,28.44
1040,105,7.75,38.67
1041,105,9.75,50.47
1042,105,11.75,60.15
1043,105,13.75,71.09
1044,105,15.75,73.67
1045,105,17.75,76.95
1046,105,19.95,81.48
1047,106,1.75,12.73
1048,106,3.75,17.42
1049,106,5.75,21.48
1050,106,9.75,40.86
1051,106,11.75,52.89
1052,106,13.75,60.39
1053,106,15.75,67.5
1054,106,17.75,71.09
1055,106,20.25,76.25
1056,107,1.75,9.69
1057,107,3.75,14.76
1058,107,5.75,25.7
1059,107,7.75,39.29
1060,107,9.75,47.97
1061,107,11.75,58.82
1062,107,13.75,68.28
1063,107,15.75,76.17
1064,107,17.75,88.82
1065,107,20.05,102.88
1066,108,1.75,9.14
1067,108,3.75,15.23
1068,108,5.75,23.51
1069,108,7.75,35.47
1070,108,9.75,47.81
1071,108,11.75,54.37
1072,108,13.75,59.61
1073,108,15.75,64.61
1074,108,17.75,69.21
1075,108,19.75,73.35
1076,109,1.75,12.58
1077,109,3.75,19.69
1078,109,5.75,28.44
1079,109,7.75,36.01
1080,109,9.75,44.68
1081,109,11.75,52.65
1082,109,13.75,63.82
1083,109,15.75,73.43
1084,109,17.75,80.93
1085,109,19.95,89.99
1086,110,1.75,10.86
1087,110,3.75,15.31
1088,110,5.75,25.15
1089,110,7.75,37.58
1090,110,9.75,47.89
1091,110,11.75,54.61
1092,110,13.75,59.68
1093,110,15.75,64.37
1094,110,17.75,69.21
1095,110,19.95,74.76
1096,111,1.75,11.41
1097,111,3.75,18.59
1098,111,5.75,27.34
1099,111,7.75,37.81
1100,111,9.75,48.98
1101,111,11.75,58.28
1102,111,13.75,68.43
1103,111,15.75,80.15
1104,111,17.75,89.76
1105,111,19.75,96.71
1106,112,1.75,10.55
1107,112,3.75,18.98
