conePenetrationTestMeta_ID,site_ID,citation_ID,name,longitude,latitude,date,coneNo,tipArea_unit,tipArea_value,pushRate_unit,pushRate_value,notes,depth_unit,tipResistance_unit,sleeveFriction_unit,porePressure_unit
1846,3805,80,Oak047,-122.282,37.8455,1999.2.22,660tc,,0,cm/s,0,,m,MPa,kPa,
1847,3806,80,Oak048,-122.198,37.7541,1999.2.25,660tc,,0,cm/s,0,,m,MPa,kPa,
1848,3807,80,Oak049,-122.282,37.8413,1999.3.2,660tc,,0,cm/s,0,,m,MPa,kPa,
1849,3808,80,Oak050,-122.206,37.7556,1999.3.3,660,,0,cm/s,0,,m,MPa,kPa,
1850,3809,80,Oak051,-122.211,37.7504,1999.3.5,660,,0,cm/s,0,,m,MPa,kPa,
1851,3810,80,Oak052,-122.204,37.743,1999.3.5,660,,0,cm/s,0,,m,MPa,kPa,
1852,3811,80,Oak053,-122.31,37.8102,1999.3.11,660,,0,cm/s,0,,m,MPa,kPa,
1853,3812,80,Oak054,-122.302,37.816,1999.3.11,660,,0,cm/s,0,,m,MPa,kPa,
1854,3813,80,Oak055,-122.297,37.823,1999.3.11,660,,0,cm/s,0,,m,MPa,kPa,
1855,3814,80,Oak056,-122.311,37.8145,1999.3.16,660,,0,cm/s,0,,m,MPa,kPa,
1856,3815,80,Oak057,-122.324,37.8083,1999.3.22,660,,0,cm/s,0,,m,MPa,kPa,
1857,3816,80,Oak058,-122.291,37.7987,1999.3.25,660,,0,cm/s,0,,m,MPa,kPa,
1858,3817,80,Oak059,-122.311,37.7967,1999.3.25,660,,0,cm/s,0,,m,MPa,kPa,
1859,3818,80,Oak060,-122.33,37.8003,1999.3.25,660,,0,cm/s,0,,m,MPa,kPa,
1860,3819,80,Oak061,-122.281,37.8182,1999.3.30,660,,0,cm/s,0,,m,MPa,kPa,
1861,3820,80,Oak062,-122.286,37.8129,1999.3.30,660,,0,cm/s,0,,m,MPa,kPa,
