depth (m),qc (MPa),fs (MPa),u (MPa),qt (MPa)
14.2,3.787232015,0.148811817,0.018712379,3.790974491
14.25,3.533849731,0.122094637,0.020898018,3.538029335
14.3,3.333806047,0.104378945,0.021628862,3.338131819
14.35,3.304407574,0.098250273,0.021752968,3.308758168
14.4,3.309770162,0.101889172,0.02369729,3.31450962
14.45,3.808490846,0.110124575,0.024786662,3.813448178
14.5,4.080546426,0.124392889,0.026489668,4.08584436
14.55,4.259235519,0.141438259,0.026613774,4.264558274
14.6,4.216526336,0.163367413,0.019443223,4.220414981
14.65,4.059191835,0.182423753,0.017623007,4.062716436
14.7,3.94715205,0.183285597,0.019201907,3.950992431
14.75,3.853881322,0.177731488,0.027337723,3.859348867
14.8,3.989861233,0.166335989,0.035728646,3.997006962
14.85,3.827164143,0.169017282,0.065493325,3.840262808
14.9,3.771144251,0.168059677,0.063549003,3.783854052
14.95,3.680459057,0.16087764,0.075945781,3.695648213
15,3.643208223,0.148524536,0.089797354,3.661167694
15.05,3.547160441,0.135309587,0.117990028,3.570758447
15.1,3.448431366,0.133873179,0.11835545,3.472102456
15.15,3.435120656,0.138373923,0.112398378,3.457600332
15.2,3.445750071,0.142300103,0.125643211,3.470878713
15.25,3.331124753,0.138565444,0.066348275,3.344394408
15.3,3.296459452,0.136362952,0.077159259,3.311891304
15.35,3.080423764,0.13205373,0.076428415,3.095709447
15.4,2.915045381,0.123243763,0.080565271,2.931158435
15.45,2.811049478,0.11682781,0.080199848,2.827089448
15.5,2.803005596,0.10907121,0.079834426,2.818972481
15.55,2.592332496,0.096813865,0.082875015,2.608907499
15.6,2.624316503,0.091642799,0.084205704,2.641157644
15.65,2.771021589,0.092025841,0.086274132,2.788276415
15.7,3.112407771,0.09585626,0.088707982,3.130149367
15.75,3.275104861,0.10332558,0.085667393,3.29223834
15.8,3.112407771,0.11673205,0.077524681,3.127912707
15.85,3.080423764,0.11874302,0.086639554,3.097751675
15.9,3.02976646,0.111273701,0.088583876,3.047483235
15.95,3.021722578,0.107443281,0.092589732,3.040240524
16,3.109726477,0.109933054,0.093561893,3.128438856
16.05,3.051121051,0.117019331,0.093320577,3.069785166
16.1,2.88038008,0.123148003,0.087370399,2.89785416
16.15,2.496284714,0.123435284,0.078255526,2.511935819
16.2,2.162942414,0.107922084,0.086880871,2.180318588
16.25,1.994978497,0.081204904,0.090528199,2.013084137
16.3,1.944321192,0.061765523,0.09150036,1.962621264
16.35,1.840229528,0.050274263,0.091982993,1.858626127
16.4,1.824237525,0.0496997,0.093685999,1.842974725
16.45,1.869532242,0.047976011,0.093561893,1.888244621
16.5,1.890982594,0.051040347,0.094292738,1.909841142
16.55,1.970942611,0.058701186,0.094175527,1.989777716
16.6,1.94958802,0.063010409,0.093810105,1.968350041
16.65,1.885620005,0.068372997,0.093810105,1.904382026
16.7,1.880257418,0.068660278,0.094534054,1.899164229
16.75,1.954950607,0.070096686,0.095630321,1.974076671
16.8,2.176253123,0.077278724,0.105476038,2.197348331
16.85,2.403013987,0.088482702,0.106689516,2.42435189
16.9,2.584384374,0.095568979,0.108268416,2.606038057
16.95,2.709734869,0.100740046,0.108875155,2.7315099
17,2.885742668,0.108400886,0.108268416,2.907396351
17.05,2.965702685,0.115678684,0.108385627,2.98737981
17.1,2.979109155,0.12065823,0.108751049,3.000859365
17.15,2.957754564,0.119796385,0.107778888,2.979310342
17.2,2.851077366,0.117115092,0.105958672,2.8722691
17.25,2.864388076,0.117306613,0.105834566,2.885554989
17.3,2.981694689,0.117306613,0.105476038,3.002789897
